title,imdb_id
Warcraft,tt0803096
Yes Man,tt1068680
Prince of Persia: The Sands of Time,tt0473075
Hansel & Gretel: Witch Hunters,tt1428538
Pokémon Detective Pikachu,tt5884052
Insidious,tt1591095
The Last Samurai,tt0325710
Megamind,tt1001526
The Expendables 2,tt1764651
RED,tt1245526
Mulan,tt4566758
Raya and the Last Dragon,tt5109280
mother!,tt5109784
Tarzan,tt0120855
Hachi: A Dog's Tale,tt1028532
Oz the Great and Powerful,tt1623205
Rise of the Guardians,tt1446192
Allegiant,tt3410834
Star Trek Beyond,tt2660888
The Fast and the Furious: Tokyo Drift,tt0463985
Olympus Has Fallen,tt2302755
The 40 Year Old Virgin,tt0405422
Nobody,tt7888964
Pitch Perfect,tt1981677
After Earth,tt1815862
The Irishman,tt1302006
Taken 2,tt1397280
Super 8,tt1650062
The Intern,tt2361509
Lion,tt3741834
Sleepy Hollow,tt0162661
Rio,tt1436562
The Proposal,tt1041829
Mission: Impossible III,tt0317919
Midsommar,tt8772262
Scream,tt0117571
Ad Astra,tt2935510
Mission: Impossible II,tt0120755
The Emperor's New Groove,tt0120917
28 Days Later,tt0289043
Terminator 3: Rise of the Machines,tt0181852
The Age of Adaline,tt1655441
Gangs of New York,tt0217505
The Nun,tt5814060
"Lock, Stock and Two Smoking Barrels",tt0120735
300: Rise of an Empire,tt1253863
A Good Day to Die Hard,tt1606378
Love Actually,tt0314331
The Purge: Anarchy,tt2975578
Mystic River,tt0327056
Alice Through the Looking Glass,tt2567026
Mamma Mia!,tt0795421
Captain Fantastic,tt3553976
Terminator Salvation,tt0438488
There Will Be Blood,tt0469494
Batman Returns,tt0103776
Ghostbusters,tt1289401
The Game,tt0119174
Rango,tt1192628
Pearl Harbor,tt0213149
Dark Phoenix,tt6565702
This Is the End,tt1245492
Horrible Bosses,tt1499658
Shark Tale,tt0307453
The Legend of Tarzan,tt0918940
The Chronicles of Narnia: Prince Caspian,tt0499448
The Others,tt0230600
Predestination,tt2397535
Inferno,tt3062096
It Follows,tt3235888
The Impossible,tt1649419
The Blind Side,tt0878804
Project X,tt1636826
Clash of the Titans,tt0800320
Atomic Blonde,tt2406566
Ocean's Thirteen,tt0496806
The Man from U.N.C.L.E.,tt1638355
National Treasure,tt0368891
Noah,tt1959490
Jackie Brown,tt0119396
How to Train Your Dragon: The Hidden World,tt2386490
Resident Evil,tt0120804
Kick-Ass 2,tt1650554
Gattaca,tt0119177
Warm Bodies,tt1588173
Bad Boys,tt0112442
"Love, Simon",tt5164432
Annabelle,tt3322940
The Hitman's Bodyguard,tt1959563
Transformers: The Last Knight,tt3371366
Happy Death Day,tt5308322
A.I. Artificial Intelligence,tt0212720
The Ring,tt0298130
Lara Croft: Tomb Raider,tt0146316
Little Women,tt3281548
Maleficent: Mistress of Evil,tt4777008
Underworld,tt0320691
A Quiet Place Part II,tt8332922
What Happened to Monday,tt1536537
Onward,tt7146812
The Polar Express,tt0338348
Dracula Untold,tt0829150
Independence Day: Resurgence,tt1628841
Spy,tt3079380
Lilo & Stitch,tt0275847
Mulholland Drive,tt0166924
Contagion,tt1598778
Madagascar 3: Europe's Most Wanted,tt1277953
Fantastic Four,tt1502712
Bumblebee,tt4701182
The Book of Eli,tt1037705
The Accountant,tt2140479
Mrs. Doubtfire,tt0107614
Dumb and Dumber,tt0109686
Space Jam,tt0117705
Die Hard: With a Vengeance,tt0112864
The Babadook,tt2321549
Speed,tt0111257
Red Sparrow,tt2873282
Tropic Thunder,tt0942385
Bolt,tt0397892
The Lobster,tt3464902
Grown Ups,tt1375670
Flight,tt1907668
Notting Hill,tt0125439
Eyes Wide Shut,tt0120663
The Karate Kid,tt1155076
The Magnificent Seven,tt2404435
The Lone Ranger,tt1210819
Mr. Nobody,tt0485947
Meet the Parents,tt0212338
The Danish Girl,tt0810819
No Time to Die,tt2382320
Night at the Museum: Secret of the Tomb,tt2692250
Godzilla: King of the Monsters,tt3741700
The 5th Wave,tt2304933
Ghost Rider,tt0259324
Black Panther: Wakanda Forever,tt9114286
Central Intelligence,tt1489889
Black Adam,tt6443346
Blade,tt0120611
Sweeney Todd: The Demon Barber of Fleet Street,tt0408236
Cloudy with a Chance of Meatballs,tt0844471
Moonrise Kingdom,tt1748122
Ender's Game,tt1731141
The Devil's Advocate,tt0118971
The Girl on the Train,tt3631112
Mortal Kombat,tt0293429
Van Helsing,tt0338526
From Dusk Till Dawn,tt0116367
The Conjuring: The Devil Made Me Do It,tt7069210
"I, Tonya",tt5580036
The Dictator,tt1645170
Manchester by the Sea,tt4034228
Hulk,tt0286716
Game Night,tt2704998
The Interview,tt2788710
Hitch,tt0386588
Live Free or Die Hard,tt0337978
Jason Bourne,tt4196776
Training Day,tt0139654
Taken 3,tt2446042
Hotel Transylvania 2,tt2510894
Interview with the Vampire,tt0110148
Jumper,tt0489099
The Bourne Legacy,tt1194173
King Arthur: Legend of the Sword,tt1972591
Kung Fu Panda 3,tt2267968
Ace Ventura: Pet Detective,tt0109040
Pocahontas,tt0114148
Paul,tt1092026
Inside Man,tt0454848
The Invisible Man,tt1051906
Just Go with It,tt1564367
Cars 3,tt3606752
Annabelle: Creation,tt5140878
Five Feet Apart,tt6472976
Casino,tt0112641
Moon,tt1182345
Jurassic World Dominion,tt8041270
John Carter,tt0401729
G.I. Joe: Retaliation,tt1583421
Everything Everywhere All at Once,tt6710474
Black Hawk Down,tt0265086
Jungle Cruise,tt0870154
The Chronicles of Narnia: The Voyage of the Dawn Treader,tt0980970
Zombieland: Double Tap,tt1560220
The Hurt Locker,tt0887912
Southpaw,tt1798684
School of Rock,tt0332379
Liar Liar,tt0119528
Signs,tt0286106
The Good Dinosaur,tt1979388
Red Notice,tt7991608
Battleship,tt1440129
RoboCop,tt1234721
Collateral Beauty,tt4682786
